
#DISTRICT,CITY/TEHSIL,DIVISION,PROVINCE,NA NAME(NA#),PA#
#BALOCHISTAN

KARACHI_CENTRAL,KARACHI_CENTRAL-II,KARACHI_CENTRAL,SINDH,KARACHI CENTRAL (NA-228),PS-73
KARACHI_CENTRAL,KARACHI_CENTRAL-III,KARACHI_CENTRAL,SINDH,KARACHI CENTRAL (NA-229),PS-74
KARACHI_CENTRAL,KARACHI_CENTRAL-IV,KARACHI_CENTRAL,SINDH,KARACHI CENTRAL (NA-229),PS-75
KARACHI_CENTRAL,KARACHI_CENTRAL-V,KARACHI_CENTRAL,SINDH,KARACHI CENTRAL (NA-230),PS-76
KARACHI_CENTRAL,KARACHI_CENTRAL-VI,KARACHI_CENTRAL,SINDH,KARACHI CENTRAL (NA-230),PS-77
KARACHI_WEST,KARACHI_WEST-I,KARACHI_WEST,SINDH,KARACHI WEST (NA-231),PS-78
KARACHI_WEST,KARACHI_WEST-II,KARACHI_WEST,SINDH,KARACHI WEST (NA-231),PS-79
KARACHI_WEST,KARACHI_WEST-III,KARACHI_WEST,SINDH,KARACHI WEST (NA-232),PS-80
KARACHI_WEST,KARACHI_WEST-IV,KARACHI_WEST,SINDH,KARACHI WEST (NA-232),PS-81
KARACHI_WEST,KARACHI_WEST-V,KARACHI_WEST,SINDH,KARACHI WEST (NA-233),PS-82
KARACHI_WEST,KARACHI_WEST-VI,KARACHI_WEST,SINDH,KARACHI WEST (NA-233),PS-83
KARACHI_WEST,KARACHI_WEST-VII,KARACHI_WEST,SINDH,KARACHI WEST (NA-234),PS-84
KARACHI_WEST,KARACHI_WEST-VIII,KARACHI_WEST,SINDH,KARACHI WEST (NA-234),PS-85
KARACHI_WEST,KARACHI_WEST-IX,KARACHI_WEST,SINDH,KARACHI WEST (NA-235),PS-86
KARACHI_WEST,KARACHI_WEST-X,KARACHI_WEST,SINDH,KARACHI WEST (NA-235),PS-87
KARACHI_WEST,KARACHI_WEST-XI,KARACHI_WEST,SINDH,KARACHI WEST (NA-236),PS-88
KARACHI_WEST,KARACHI_WEST-XII,KARACHI_WEST,SINDH,KARACHI WEST (NA-236),PS-89
KARACHI_KEAMARI,KARACHI_KEAMARI-I,KARACHI_KEAMARI,SINDH,KARACHI KEAMARI (NA-237),PS-90
KARACHI_KEAMARI,KARACHI_KEAMARI-II,KARACHI_KEAMARI,SINDH,KARACHI KEAMARI (NA-237),PS-91
KARACHI_KEAMARI,KARACHI_KEAMARI-III,KARACHI_KEAMARI,SINDH,KARACHI KEAMARI (NA-238),PS-92
KARACHI_KEAMARI,KARACHI_KEAMARI-IV,KARACHI_KEAMARI,SINDH,KARACHI KEAMARI (NA-238),PS-93
KARACHI_BIN_QASIM,KARACHI_BIN_QASIM,KARACHI_BIN_QASIM,SINDH,KARACHI BIN QASIM (NA-239),PS-94
KARACHI_SOUTH,KARACHI_SOUTH-III,KARACHI_SOUTH,SINDH,KARACHI SOUTH (NA-240),PS-95
KARACHI_SOUTH,KARACHI_SOUTH-IV,KARACHI_SOUTH,SINDH,KARACHI SOUTH (NA-240),PS-96
KARACHI_EAST,KARACHI_EAST-V,KARACHI_EAST,SINDH,KARACHI EAST (NA-241),PS-97
KARACHI_EAST,KARACHI_EAST-VI,KARACHI_EAST,SINDH,KARACHI EAST (NA-241),PS-98
KARACHI_EAST,KARACHI_EAST-VII,KARACHI_EAST,SINDH,KARACHI EAST (NA-242),PS-99
KARACHI_CENTRAL,KARACHI_CENTRAL-VII,KARACHI_CENTRAL,SINDH,KARACHI CENTRAL (NA-243),PS-100
KARACHI_CENTRAL,KARACHI_CENTRAL-VIII,KARACHI_CENTRAL,SINDH,KARACHI CENTRAL (NA-243),PS-101
KARACHI_CENTRAL,KARACHI_CENTRAL-IX,KARACHI_CENTRAL,SINDH,KARACHI CENTRAL (NA-244),PS-102
KARACHI_CENTRAL,KARACHI_CENTRAL-X,KARACHI_CENTRAL,SINDH,KARACHI CENTRAL (NA-244),PS-103
KARACHI_CENTRAL,KARACHI_CENTRAL-XI,KARACHI_CENTRAL,SINDH,KARACHI CENTRAL (NA-245),PS-104
KARACHI_CENTRAL,KARACHI_CENTRAL-XII,KARACHI_CENTRAL,SINDH,KARACHI CENTRAL (NA-245),PS-105
KARACHI_CENTRAL,KARACHI_CENTRAL-XIII,KARACHI_CENTRAL,SINDH,KARACHI CENTRAL (NA-246),PS-106
KARACHI_CENTRAL,KARACHI_CENTRAL-XIV,KARACHI_CENTRAL,SINDH,KARACHI CENTRAL (NA-246),PS-107
KARACHI_WEST,KARACHI_WEST-XIII,KARACHI_WEST,SINDH,KARACHI WEST (NA-247),PS-108
KARACHI_WEST,KARACHI_WEST-XIV,KARACHI_WEST,SINDH,KARACHI WEST (NA-247),PS-109
KARACHI_WEST,KARACHI_WEST-XV,KARACHI_WEST,SINDH,KARACHI WEST (NA-248),PS-110
KARACHI_WEST,KARACHI_WEST-XVI,KARACHI_WEST,SINDH,KARACHI WEST (NA-248),PS-111
KARACHI_WEST,KARACHI_WEST-XVII,KARACHI_WEST,SINDH,KARACHI WEST (NA-249),PS-112
KARACHI_WEST,KARACHI_WEST-XVIII,KARACHI_WEST,SINDH,KARACHI WEST (NA-249),PS-113
KARACHI_WEST,KARACHI_WEST-XIX,KARACHI_WEST,SINDH,KARACHI WEST (NA-250),PS-114
KARACHI_WEST,KARACHI_WEST-XX,KARACHI_WEST,SINDH,KARACHI WEST (NA-250),PS-115
KARACHI_WEST,KARACHI_WEST-XXI,KARACHI_WEST,SINDH,KARACHI WEST (NA-250),PS-116
KARACHI_WEST,KARACHI_WEST-XXII,KARACHI_WEST,SINDH,KARACHI WEST (NA-250),PS-117
KARACHI_WEST,KARACHI_WEST-XXIII,KARACHI_WEST,SINDH,KARACHI WEST (NA-250),PS-118
KARACHI_WEST,KARACHI_WEST-XXIV,KARACHI_WEST,SINDH,KARACHI WEST (NA-250),PS-119
KARACHI_WEST,KARACHI_WEST-XXV,KARACHI_WEST,SINDH,KARACHI WEST (NA-250),PS-120
KARACHI_WEST,KARACHI_WEST-XXVI,KARACHI_WEST,SINDH,KARACHI WEST (NA-250),PS-121
KARACHI_WEST,KARACHI_WEST-XXVII,KARACHI_WEST,SINDH,KARACHI WEST (NA-250),PS-122
KARACHI_WEST,KARACHI_WEST-XXVIII,KARACHI_WEST,SINDH,KARACHI WEST (NA-250),PS-123
KARACHI_WEST,KARACHI_WEST-XXIX,KARACHI_WEST,SINDH,KARACHI WEST (NA-250),PS-124
KARACHI_WEST,KARACHI_WEST-XXX,KARACHI_WEST,SINDH,KARACHI WEST (NA-250),PS-125
KARACHI_WEST,KARACHI_WEST-XXXI,KARACHI_WEST,SINDH,KARACHI WEST (NA-250),PS-126
KARACHI_WEST,KARACHI_WEST-XXXII,KARACHI_WEST,SINDH,KARACHI WEST (NA-250),PS-127
KARACHI_WEST,KARACHI_WEST-XXXIII,KARACHI_WEST,SINDH,KARACHI WEST (NA-250),PS-128
KARACHI_WEST,KARACHI_WEST-XXXIV,KARACHI_WEST,SINDH,KARACHI WEST (NA-250),PS-129
KARACHI_WEST,KARACHI_WEST-XXXV,KARACHI_WEST,SINDH,KARACHI WEST (NA-250),PS-130
