
#DISTRICT,CITY/TEHSIL,DIVISION,PROVINCE,NA NAME(NA#),PA#
#BALOCHISTAN

SWAT,SWAT (NA-3),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-3),PK-43
SWAT,SWAT (NA-3),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-3),PK-44
SWAT,SWAT (NA-4),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-4),PK-45
SWAT,SWAT (NA-4),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-4),PK-46
SWAT,SWAT (NA-4),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-4),PK-47
SWAT,SWAT (NA-4),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-4),PK-48
SWAT,SWAT (NA-4),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-4),PK-49
SWAT,SWAT (NA-4),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-4),PK-50
SWAT,SWAT (NA-4),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-4),PK-51
SWAT,SWAT (NA-4),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-4),PK-52
SWAT,SWAT (NA-4),MALAKAND,KHYBER PAKHTUNKHWA,SWAT (NA-4),PK-53
LOWER DIR,DIR (NA-5),MALAKAND,KHYBER PAKHTUNKHWA,DIR (NA-5),PK-54
LOWER DIR,DIR (NA-5),MALAKAND,KHYBER PAKHTUNKHWA,DIR (NA-5),PK-55
LOWER DIR,DIR (NA-5),MALAKAND,KHYBER PAKHTUNKHWA,DIR (NA-5),PK-56
LOWER DIR,DIR (NA-5),MALAKAND,KHYBER PAKHTUNKHWA,DIR (NA-5),PK-57
ABBOTTABAD,ABBOTTABAD (NA-15),HAZARA,KHYBER PAKHTUNKHWA,ABBOTTABAD (NA-15),PK-58
ABBOTTABAD,ABBOTTABAD (NA-15),HAZARA,KHYBER PAKHTUNKHWA,ABBOTTABAD (NA-15),PK-59
ABBOTTABAD,ABBOTTABAD (NA-15),HAZARA,KHYBER PAKHTUNKHWA,ABBOTTABAD (NA-15),PK-60
ABBOTTABAD,ABBOTTABAD (NA-15),HAZARA,KHYBER PAKHTUNKHWA,ABBOTTABAD (NA-15),PK-61
MANSEHRA,MANSEHRA (NA-16),HAZARA,KHYBER PAKHTUNKHWA,MANSEHRA (NA-16),PK-62
MANSEHRA,MANSEHRA (NA-16),HAZARA,KHYBER PAKHTUNKHWA,MANSEHRA (NA-16),PK-63
MANSEHRA,MANSEHRA (NA-16),HAZARA,KHYBER PAKHTUNKHWA,MANSEHRA (NA-16),PK-64
MANSEHRA,MANSEHRA (NA-16),HAZARA,KHYBER PAKHTUNKHWA,MANSEHRA (NA-16),PK-65
HARIPUR,HARIPUR (NA-17),HAZARA,KHYBER PAKHTUNKHWA,HARIPUR (NA-17),PK-66
HARIPUR,HARIPUR (NA-17),HAZARA,KHYBER PAKHTUNKHWA,HARIPUR (NA-17),PK-67
HARIPUR,HARIPUR (NA-17),HAZARA,KHYBER PAKHTUNKHWA,HARIPUR (NA-17),PK-68
SWABI,SWABI (NA-18),PESHAWAR,KHYBER PAKHTUNKHWA,SWABI (NA-18),PK-69
SWABI,SWABI (NA-18),PESHAWAR,KHYBER PAKHTUNKHWA,SWABI (NA-18),PK-70
SWABI,SWABI (NA-18),PESHAWAR,KHYBER PAKHTUNKHWA,SWABI (NA-18),PK-71
SWABI,SWABI (NA-18),PESHAWAR,KHYBER PAKHTUNKHWA,SWABI (NA-18),PK-72
SWABI,SWABI (NA-18),PESHAWAR,KHYBER PAKHTUNKHWA,SWABI (NA-18),PK-73
SWABI,SWABI (NA-18),PESHAWAR,KHYBER PAKHTUNKHWA,SWABI (NA-18),PK-74
MARDAN,MARDAN (NA-19),PESHAWAR,KHYBER PAKHTUNKHWA,MARDAN (NA-19),PK-75
MARDAN,MARDAN (NA-19),PESHAWAR,KHYBER PAKHTUNKHWA,MARDAN (NA-19),PK-76
MARDAN,MARDAN (NA-19),PESHAWAR,KHYBER PAKHTUNKHWA,MARDAN (NA-19),PK-77
MARDAN,MARDAN (NA-19),PESHAWAR,KHYBER PAKHTUNKHWA,MARDAN (NA-19),PK-78
MARDAN,MARDAN (NA-19),PESHAWAR,KHYBER PAKHTUNKHWA,MARDAN (NA-19),PK-79
CHARSADDA,CHARSADDA (NA-20),PESHAWAR,KHYBER PAKHTUNKHWA,CHARSADDA (NA-20),PK-80
CHARSADDA,CHARSADDA (NA-20),PESHAWAR,KHYBER PAKHTUNKHWA,CHARSADDA (NA-20),PK-81
CHARSADDA,CHARSADDA (NA-20),PESHAWAR,KHYBER PAKHTUNKHWA,CHARSADDA (NA-20),PK-82
CHARSADDA,CHARSADDA (NA-20),PESHAWAR,KHYBER PAKHTUNKHWA,CHARSADDA (NA-20),PK-83
PESHAWAR,PESHAWAR (NA-25),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-25),PK-84
PESHAWAR,PESHAWAR (NA-25),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-25),PK-85
PESHAWAR,PESHAWAR (NA-25),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-25),PK-86
PESHAWAR,PESHAWAR (NA-25),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-25),PK-87
PESHAWAR,PESHAWAR (NA-25),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-25),PK-88
PESHAWAR,PESHAWAR (NA-25),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-25),PK-89
PESHAWAR,PESHAWAR (NA-25),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-25),PK-90
PESHAWAR,PESHAWAR (NA-25),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-25),PK-91
NOWSHERA,NOWSHERA (NA-26),PESHAWAR,KHYBER PAKHTUNKHWA,NOWSHERA (NA-26),PK-92
NOWSHERA,NOWSHERA (NA-26),PESHAWAR,KHYBER PAKHTUNKHWA,NOWSHERA (NA-26),PK-93
NOWSHERA,NOWSHERA (NA-26),PESHAWAR,KHYBER PAKHTUNKHWA,NOWSHERA (NA-26),PK-94
NOWSHERA,NOWSHERA (NA-26),PESHAWAR,KHYBER PAKHTUNKHWA,NOWSHERA (NA-26),PK-95
PESHAWAR,PESHAWAR (NA-27),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-27),PK-96
PESHAWAR,PESHAWAR (NA-27),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-27),PK-97
PESHAWAR,PESHAWAR (NA-27),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-27),PK-98
PESHAWAR,PESHAWAR (NA-28),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-28),PK-99
PESHAWAR,PESHAWAR (NA-28),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-28),PK-100
PESHAWAR,PESHAWAR (NA-28),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-28),PK-101
PESHAWAR,PESHAWAR (NA-29),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-29),PK-102
PESHAWAR,PESHAWAR (NA-29),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-29),PK-103
PESHAWAR,PESHAWAR (NA-29),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-29),PK-104
PESHAWAR,PESHAWAR (NA-30),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-30),PK-105
PESHAWAR,PESHAWAR (NA-30),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-30),PK-106
PESHAWAR,PESHAWAR (NA-31),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-31),PK-84
PESHAWAR,PESHAWAR (NA-31),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-31),PK-85
PESHAWAR,PESHAWAR (NA-31),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-31),PK-86
KOHAT,KOHAT (NA-32),KOHAT,KHYBER PAKHTUNKHWA,KOHAT (NA-32),PK-87
KOHAT,KOHAT (NA-32),KOHAT,KHYBER PAKHTUNKHWA,KOHAT (NA-32),PK-88
KOHAT,"KOHAT/FR PESHAWAR/PESHAWAR TA (NA-32)",KOHAT,KHYBER PAKHTUNKHWA,"KOHAT/FR PESHAWAR/PESHAWAR TA (NA-32)",PK-89
KOHAT,"KOHAT/FR PESHAWAR/PESHAWAR TA (NA-32)",KOHAT,KHYBER PAKHTUNKHWA,"KOHAT/FR PESHAWAR/PESHAWAR TA (NA-32)",PK-90
KOHAT,"KOHAT/FR PESHAWAR/PESHAWAR TA (NA-32)",KOHAT,KHYBER PAKHTUNKHWA,"KOHAT/FR PESHAWAR/PESHAWAR TA (NA-32)",PK-91
KOHAT,"HANGU (NA-33)",KOHAT,KHYBER PAKHTUNKHWA,"HANGU (NA-33)",PK-92
KOHAT,"HANGU/FR KOHAT (NA-33)",KOHAT,KHYBER PAKHTUNKHWA,"HANGU/FR KOHAT (NA-33)",PK-93
KOHAT,"HANGU/FR KOHAT (NA-33)",KOHAT,KHYBER PAKHTUNKHWA,"HANGU/FR KOHAT (NA-33)",PK-94
MALAKAND,"MOHMAND (NA-34)",MALAKAND,KHYBER PAKHTUNKHWA,"MOHMAND (NA-34)",PK-95
MALAKAND,"MOHMAND (NA-34)",MALAKAND,KHYBER PAKHTUNKHWA,"MOHMAND (NA-34)",PK-96
PESHAWAR,PESHAWAR (NA-27),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-27),PK-97
PESHAWAR,PESHAWAR (NA-27),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-27),PK-98
PESHAWAR,PESHAWAR (NA-28),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-28),PK-99
PESHAWAR,PESHAWAR (NA-28),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-28),PK-100
PESHAWAR,PESHAWAR (NA-28),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-28),PK-101
PESHAWAR,PESHAWAR (NA-29),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-29),PK-102
PESHAWAR,PESHAWAR (NA-29),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-29),PK-103
PESHAWAR,PESHAWAR (NA-29),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-29),PK-104
PESHAWAR,PESHAWAR (NA-30),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-30),PK-105
PESHAWAR,PESHAWAR (NA-30),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-30),PK-106
PESHAWAR,PESHAWAR (NA-31),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-31),PK-84
PESHAWAR,PESHAWAR (NA-31),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-31),PK-85
PESHAWAR,PESHAWAR (NA-31),PESHAWAR,KHYBER PAKHTUNKHWA,PESHAWAR (NA-31),PK-86
KOHAT,KOHAT (NA-32),KOHAT,KHYBER PAKHTUNKHWA,KOHAT (NA-32),PK-87
KOHAT,KOHAT (NA-32),KOHAT,KHYBER PAKHTUNKHWA,KOHAT (NA-32),PK-88
KOHAT,KOHAT/FR PESHAWAR/PESHAWAR TA (NA-32),KOHAT,KHYBER PAKHTUNKHWA,KOHAT/FR PESHAWAR/PESHAWAR TA (NA-32),PK-89
